"","Game_ID","Home_Team","Away_Team","Game_Date","Tot_Viewers","Month","Day","gameType","All_Star_Count","Is_Lebron_Playing","Has_Top_Five_Player","Time_Zone_Of_Game","Median_Views_Per_Matchup","Predicted_Average_Views_Per_Matchup_All","Is_Sat_or_Sun","Predicted_Average_Views_Per_Matchup_By_Month","revisedDate","bestRankAmongTeams","medianDeviation","averageDeviation","monthAverageDeviation"
"1",21600001,"CLE","NYK","10/25/2016",57691,10,"Tuesday","O",2,"YES","YES","EAST",38571.5,34747.8294573643,"NO",35378.0149253731,"2016-10-25",3,0.33141217867605,0.397690637060125,0.386767174682825
"2",21600002,"POR","UTA","10/25/2016",40740,10,"Tuesday","O",0,"NO","NO","PACIFIC",11391,15273.7313432836,"NO",15245.6764705882,"2016-10-25",13,0.72039764359352,0.625092505074041,0.625781137197147
"3",21600003,"GSW","SAS","10/25/2016",60428,10,"Tuesday","O",5,"NO","YES","PACIFIC",35328,34576.3823529412,"NO",32991.3150684932,"2016-10-25",1,0.415370358112133,0.427808592822182,0.454039268741425
"4",21600004,"ORL","MIA","10/26/2016",22756,10,"Wednesday","R",2,"NO","NO","EAST",16481,12284.847826087,"NO",13081.5844155844,"2016-10-26",10,0.275751450166989,0.460149067231194,0.425136912656688
"5",21600005,"IND","DAL","10/26/2016",33922,10,"Wednesday","R",1,"NO","NO","EAST",21901,13494.3043478261,"NO",14558.7972972973,"2016-10-26",11,0.354371794115913,0.602196086674545,0.570815479709413
"6",21600006,"BOS","BKN","10/26/2016",23947,10,"Wednesday","R",1,"NO","NO","EAST",14559,22926.25,"NO",24051.9027777778,"2016-10-26",8,0.392032404894141,0.0426253810498183,0.00438062294975477
"7",21600007,"TOR","DET","10/26/2016",14887,10,"Wednesday","R",3,"NO","NO","EAST",14887,16713.4820143885,"NO",17234.1052631579,"2016-10-26",4,0,0.122689730260529,0.157661400091213
"8",21600008,"MIL","CHA","10/26/2016",12046,10,"Wednesday","R",0,"NO","NO","CENTRAL",12046,15740.7731092437,"NO",16620.2063492063,"2016-10-26",9,0,0.306721991469674,0.379728237523356
"9",21600009,"MEM","MIN","10/26/2016",21853,10,"Wednesday","R",0,"NO","NO","CENTRAL",17426.5,11201.5538461538,"NO",11224.8153846154,"2016-10-26",15,0.202558001189768,0.487413451418394,0.486348996265255
"10",21600011,"PHI","OKC","10/26/2016",42455,10,"Wednesday","R",2,"NO","YES","EAST",42455,19598.6,"NO",22101.90625,"2016-10-26",5,0,0.538367683429514,0.47940392768814
"11",21600012,"PHX","SAC","10/26/2016",14435,10,"Wednesday","R",1,"NO","NO","MOUNTAIN",10249.5,12174.5109489051,"NO",13141.3611111111,"2016-10-26",23,0.289954970557672,0.156597786705569,0.0896182119077858
"12",21600013,"LAL","HOU","10/26/2016",34087,10,"Wednesday","R",2,"NO","YES","PACIFIC",23808,21512,"NO",22518.9861111111,"2016-10-26",17,0.301551911285827,0.368908968228357,0.339367321526943
"13",21600014,"ATL","WAS","10/27/2016",27848,10,"Thursday","R",3,"NO","NO","EAST",7373,12830.5214285714,"NO",12916.1643835616,"2016-10-27",7,0.7352413099684,0.539265964213896,0.536190592374259
"14",21600015,"CHI","BOS","10/27/2016",50539,10,"Thursday","R",3,"NO","NO","CENTRAL",22463.5,16182.1640625,"NO",16617.1791044776,"2016-10-27",8,0.555521478462178,0.679808384366529,0.671200872504846
"15",21600016,"SAC","SAS","10/27/2016",27634,10,"Thursday","R",3,"NO","NO","PACIFIC",13531,12237.7954545455,"NO",11890.5362318841,"2016-10-27",2,0.510349569371065,0.557147157322666,0.569713532898456
"16",21600017,"POR","LAC","10/27/2016",29674,10,"Thursday","R",1,"NO","NO","PACIFIC",29069,15273.7313432836,"NO",15245.6764705882,"2016-10-27",6,0.0203882186425827,0.485282356834819,0.486227792997633
"17",21600018,"TOR","CLE","10/28/2016",48951,10,"Friday","R",3,"YES","YES","EAST",36959,16713.4820143885,"NO",17234.1052631579,"2016-10-28",3,0.244979673551102,0.658567097416018,0.647931497555558
"18",21600019,"BKN","IND","10/28/2016",23043,10,"Friday","R",1,"NO","NO","EAST",7591.5,12836.2480620155,"NO",13633.59375,"2016-10-28",11,0.670550709543028,0.442943711234843,0.408341199062622
"19",21600020,"DET","ORL","10/28/2016",10691,10,"Friday","R",1,"NO","NO","EAST",10691,13128.0454545455,"NO",14378.4714285714,"2016-10-28",12,0,0.227952993596993,0.344913612250625
